zone_type,feature,nedt_k_approx,n_control_samples,n_control_windows,mean_samples_per_window,sigma_control_sample_k,sigma_control_window_mean_k,sigma_control_within_event_k,n_events_within_event_sigma,n_control_null_pairs_within_event,sigma_control_paired_robust_mean_se_k,sigma_eff_theory_k,n_events_with_pairs,mean_event_control_delta_k,mean_abs_event_control_delta_k,z_eff_abs_vs_empirical_sigma,z_eff_abs_vs_empirical_within_event_sigma,z_eff_abs_vs_empirical_paired_robust_sigma,z_eff_abs_vs_theory_sigma,z_eff_mean_vs_empirical_sigma,frac_events_abs_delta_gt_2sigma_empirical,frac_events_abs_delta_gt_2sigma_empirical_within_event,frac_events_abs_delta_gt_2sigma_empirical_paired_robust,frac_events_abs_delta_gt_2sigma_theory,criterion_gt_2sigma_empirical,criterion_gt_2sigma_empirical_within_event,criterion_gt_2sigma_empirical_paired_robust,criterion_gt_2sigma_theory
3,BT_36_V,0.3,44583,10,4458.3,22.369545558598627,16.437865009945213,0.3199888593803927,5,5,0.1606963595763557,0.004493001982994351,5,-0.2542096640718398,0.7924863450334498,0.04821102646566211,2.476606049873027,4.931576216926656,176.38237152641966,0.015464883299506247,0.0,0.6,1.0,1.0,False,True,True,True
3,BT_89_H,0.6,44583,10,4458.3,29.367624290146825,24.62509750126976,0.7302776818668689,5,5,0.31972528033668046,0.008986003965988702,5,-0.18326375837373804,1.318250967104501,0.05353282223700951,1.8051365937057637,4.123073926829754,146.70046575696765,0.007442153614388259,0.0,0.6,0.8,1.0,False,False,True,True
3,BT_89_V,0.6,44583,10,4458.3,15.389716511853603,13.49286110234099,0.49773268357490624,5,5,0.13146171202277152,0.008986003965988702,5,-0.1095672293539451,0.8713827126685942,0.06458101851485085,1.7507042262324242,6.628414458178175,96.9711026132091,0.008120385181682139,0.0,0.4,0.8,1.0,False,False,True,True
4,BT_06_H,0.3,74180,18,4121.111111111111,78.07108691978063,54.75894610382023,1.2090315811861996,9,9,0.21980688400446355,0.004673197038227888,9,0.5570202447497886,1.0546736026872847,0.019260297681545517,0.8723292419314044,4.7981827660405205,225.6856695876074,0.010172223616095643,0.0,0.0,0.7777777777777778,1.0,False,False,True,True
4,BT_06_V,0.3,74180,18,4121.111111111111,49.09481256735647,35.54636612305489,0.7904663745325031,9,9,0.14385409870554375,0.004673197038227888,9,0.3169697999462389,0.727072341757485,0.02045419605594834,0.9198017337391353,5.054234452128722,155.5834979372486,0.008917080267753633,0.0,0.1111111111111111,0.6666666666666666,1.0,False,False,True,True
4,BT_10_H,0.6,74180,18,4121.111111111111,75.95374643945891,53.00018269710075,1.3228422705997882,9,9,0.3713411292871552,0.009346394076455777,9,0.6384210676544974,1.0765286514468135,0.02031179133097031,0.8137997064145116,2.899028861988359,115.18117496871493,0.012045638999078784,0.0,0.0,0.6666666666666666,1.0,False,False,True,True
4,BT_10_V,0.6,74180,18,4121.111111111111,45.50863934736905,32.851946134266385,0.7813966559269565,9,9,0.2641997085668268,0.009346394076455777,9,0.35063652908382575,0.7185278969245795,0.021871699593928026,0.9195430918144935,2.719639248742149,76.87755203202931,0.010673234628194297,0.0,0.1111111111111111,0.6666666666666666,1.0,False,False,True,True
4,BT_23_H,0.6,74180,18,4121.111111111111,47.860180282014696,32.905453636538155,1.2774657437615924,9,9,0.3413414309209637,0.009346394076455777,9,0.7670036316970842,2.9808182824765956,0.09058736328031353,2.333384121674649,8.732658893572145,318.92709189156557,0.02330931644854775,0.0,0.2222222222222222,0.8888888888888888,1.0,False,True,True,True
4,BT_23_V,0.6,74180,18,4121.111111111111,27.16588363481129,19.610740683494257,0.8219371577681426,9,9,0.23058810572180646,0.009346394076455777,9,0.27794924797270126,1.7543454796120177,0.08945839975787324,2.134403418840075,7.60813518164962,187.70292213885324,0.01417331718667018,0.0,0.2222222222222222,0.8888888888888888,1.0,False,True,True,True
4,BT_36_H,0.3,74180,18,4121.111111111111,50.359159723131796,33.29567385463876,1.1208581979070114,9,9,0.37109966434464764,0.004673197038227888,9,0.7293933184008002,1.689649041742879,0.050746804198031785,1.5074601273363357,4.553086957722679,361.56169489990236,0.021906549228742554,0.0,0.2222222222222222,0.8888888888888888,1.0,False,False,True,True
4,BT_36_V,0.3,74180,18,4121.111111111111,26.010944195380063,18.073437076270217,0.6736287714979003,9,9,0.16329170920642036,0.004673197038227888,9,0.20899216595140047,0.931872095716582,0.05156031427691732,1.3833614820881899,5.706793689926925,199.40783324427403,0.011563498689787111,0.0,0.2222222222222222,0.6666666666666666,1.0,False,False,True,True
4,BT_89_H,0.6,74180,18,4121.111111111111,26.143255964175307,16.255124060508468,0.9381453581925455,9,9,0.16224849090078966,0.009346394076455777,9,0.46099930794475896,2.182421116924521,0.13426050203004442,2.326314464881251,13.45110271786139,233.5040764461444,0.028360245435760684,0.0,0.4444444444444444,0.8888888888888888,1.0,False,True,True,True
4,BT_89_V,0.6,74180,18,4121.111111111111,12.287337030692733,8.089433942033526,0.7113260427704815,9,9,0.1544239785638101,0.009346394076455777,9,-0.07308047694593256,1.1783584387916681,0.14566636519136364,1.6565658614187426,7.630670118402333,126.07626311841867,0.009034065605777299,0.0,0.3333333333333333,0.7777777777777778,1.0,False,False,True,True
